SalesOrderNumber,CustomerKey,OrderDate,OrderQuantity,UnitPrice,SalesAmount,ProductKey,SalesTerritoryKey
SO51595,11004,2007-07-26,1,21.98,21.98,485,9
SO51595,11004,2007-07-26,1,34.99,34.99,214,9
SO57293,11004,2007-11-02,1,2384.07,2384.07,562,9
SO57293,11004,2007-11-02,1,34.99,34.99,217,9
SO43704,11005,2005-07-02,1,3374.99,3374.99,351,9
SO51612,11005,2007-07-27,1,2319.99,2319.99,355,9
SO51612,11005,2007-07-27,1,35.0,35.0,537,9
SO51612,11005,2007-07-27,1,4.99,4.99,528,9
SO51612,11005,2007-07-27,1,2.29,2.29,480,9
SO57361,11005,2007-11-03,1,2384.07,2384.07,562,9
SO43819,11006,2005-07-27,1,3399.99,3399.99,346,9
SO51198,11006,2007-07-02,1,2319.99,2319.99,357,9
SO51198,11006,2007-07-02,1,9.99,9.99,478,9
SO51198,11006,2007-07-02,1,4.99,4.99,477,9
SO58007,11006,2007-11-15,1,2384.07,2384.07,562,9
SO43743,11007,2005-07-12,1,3399.99,3399.99,347,9
SO51581,11007,2007-07-25,1,2294.99,2294.99,361,9
SO51581,11007,2007-07-25,1,4.99,4.99,528,9
SO51581,11007,2007-07-25,1,35.0,35.0,537,9
SO51581,11007,2007-07-25,1,21.98,21.98,485,9
SO51581,11007,2007-07-25,1,34.99,34.99,222,9
SO54705,11007,2007-09-20,1,2384.07,2384.07,564,9
SO54705,11007,2007-09-20,1,34.99,34.99,214,9
SO43826,11008,2005-07-28,1,3374.99,3374.99,348,9
SO51282,11008,2007-07-07,1,2294.99,2294.99,361,9
SO51282,11008,2007-07-07,1,4.99,4.99,477,9
SO51282,11008,2007-07-07,1,9.99,9.99,478,9
SO51282,11008,2007-07-07,1,2.29,2.29,480,9
SO53765,11008,2007-09-03,1,2384.07,2384.07,561,9
SO53765,11008,2007-09-03,1,34.99,34.99,214,9
SO43837,11009,2005-07-30,1,3374.99,3374.99,350,9
SO51562,11009,2007-07-24,1,2294.99,2294.99,359,9
SO51562,11009,2007-07-24,1,2.29,2.29,480,9
SO57736,11009,2007-11-10,1,2384.07,2384.07,575,9
SO57736,11009,2007-11-10,1,34.99,34.99,217,9
SO43765,11010,2005-07-17,1,3399.99,3399.99,346,9
SO51421,11010,2007-07-15,1,2294.99,2294.99,361,9
SO58533,11010,2007-11-24,1,2384.07,2384.07,575,9
SO58533,11010,2007-11-24,1,8.99,8.99,225,9
SO43705,11011,2005-07-02,1,3399.99,3399.99,344,9
SO51650,11011,2007-07-29,1,2294.99,2294.99,361,9
SO54706,11011,2007-09-20,1,2384.07,2384.07,574,9
SO54706,11011,2007-09-20,1,53.99,53.99,489,9
SO54508,11012,2007-09-17,1,35.0,35.0,537,1
SO54508,11012,2007-09-17,1,4.99,4.99,528,1
SO54508,11012,2007-09-17,1,34.99,34.99,217,1
SO68413,11012,2008-04-17,1,3.99,3.99,529,1
SO68413,11012,2008-04-17,1,2.29,2.29,480,1
SO56137,11013,2007-10-15,1,3.99,3.99,529,1
SO56137,11013,2007-10-15,1,34.99,34.99,217,1
SO74908,11013,2008-07-24,1,35.0,35.0,537,1
SO74908,11013,2008-07-24,1,4.99,4.99,528,1
SO74908,11013,2008-07-24,1,34.99,34.99,222,1
SO54898,11014,2007-09-24,1,3.99,3.99,529,1
SO54898,11014,2007-09-24,1,34.99,34.99,217,1
SO57222,11014,2007-11-01,1,35.0,35.0,537,1
SO57222,11014,2007-11-01,1,4.99,4.99,528,1
SO57222,11014,2007-11-01,1,34.99,34.99,217,1
SO57222,11014,2007-11-01,1,24.49,24.49,465,1
SO51520,11015,2007-07-22,1,2319.99,2319.99,353,4
SO51520,11015,2007-07-22,1,21.98,21.98,485,4
SO51520,11015,2007-07-22,1,159.0,159.0,486,4
SO52512,11016,2007-08-13,1,2294.99,2294.99,363,4
SO52512,11016,2007-08-13,1,35.0,35.0,537,4
SO52512,11016,2007-08-13,1,2.29,2.29,480,4
SO43757,11017,2005-07-15,1,3374.99,3374.99,350,9
SO51256,11017,2007-07-05,1,2294.99,2294.99,363,9
SO51256,11017,2007-07-05,1,21.98,21.98,485,9
SO68396,11017,2008-04-16,1,742.35,742.35,569,9
SO43778,11018,2005-07-20,1,3399.99,3399.99,345,9
SO51492,11018,2007-07-20,1,2319.99,2319.99,353,9
SO51492,11018,2007-07-20,1,21.98,21.98,485,9
SO69087,11018,2008-04-26,1,742.35,742.35,569,9
SO69087,11018,2008-04-26,1,8.99,8.99,479,9
SO69087,11018,2008-04-26,1,4.99,4.99,477,9
SO69087,11018,2008-04-26,1,34.99,34.99,222,9
SO52626,11019,2007-08-16,1,3.99,3.99,529,6
SO52626,11019,2007-08-16,1,24.99,24.99,539,6
SO52626,11019,2007-08-16,1,8.99,8.99,482,6
SO53834,11019,2007-09-05,1,53.99,53.99,491,6
SO54332,11019,2007-09-14,1,3.99,3.99,529,6
SO54332,11019,2007-09-14,1,34.99,34.99,222,6
SO54332,11019,2007-09-14,1,8.99,8.99,482,6
SO56910,11019,2007-10-30,1,8.99,8.99,479,6
SO57639,11019,2007-11-09,1,4.99,4.99,530,6
SO57639,11019,2007-11-09,1,2.29,2.29,480,6
SO58600,11019,2007-11-26,1,24.99,24.99,539,6
SO58600,11019,2007-11-26,1,3.99,3.99,529,6
SO58600,11019,2007-11-26,1,120.0,120.0,483,6
SO62659,11019,2008-01-24,1,35.0,35.0,537,6
SO62659,11019,2008-01-24,1,2.29,2.29,480,6
SO64737,11019,2008-02-23,1,2.29,2.29,480,6
SO65967,11019,2008-03-11,1,24.99,24.99,535,6
SO66658,11019,2008-03-22,1,21.49,21.49,538,6
SO66658,11019,2008-03-22,1,2.29,2.29,480,6
SO68563,11019,2008-04-19,1,29.99,29.99,536,6
SO68563,11019,2008-04-19,1,4.99,4.99,528,6
SO68563,11019,2008-04-19,1,2.29,2.29,480,6
SO69177,11019,2008-04-28,1,34.99,34.99,214,6
SO71963,11019,2008-06-01,1,49.99,49.99,228,6
SO71963,11019,2008-06-01,1,24.49,24.49,463,6
SO72015,11019,2008-06-02,1,28.99,28.99,541,6
SO72015,11019,2008-06-02,1,4.99,4.99,530,6
SO72747,11019,2008-06-12,1,69.99,69.99,475,6
SO72747,11019,2008-06-12,1,53.99,53.99,491,6
SO74561,11019,2008-07-14,1,120.0,120.0,483,6
SO74593,11019,2008-07-15,1,4.99,4.99,530,6
SO74593,11019,2008-07-15,1,34.99,34.99,222,6
SO74593,11019,2008-07-15,1,24.49,24.49,467,6
SO51193,11020,2007-07-02,1,2294.99,2294.99,363,6
SO51193,11020,2007-07-02,1,21.98,21.98,485,6
SO51610,11021,2007-07-27,1,2294.99,2294.99,363,1
SO51610,11021,2007-07-27,1,21.98,21.98,485,1
SO51610,11021,2007-07-27,1,54.99,54.99,487,1
SO51556,11022,2007-07-24,1,2319.99,2319.99,353,1
SO51556,11022,2007-07-24,1,2.29,2.29,480,1
SO52912,11023,2007-08-21,1,35.0,35.0,537,4
SO52912,11023,2007-08-21,1,4.99,4.99,528,4
SO52912,11023,2007-08-21,1,21.98,21.98,485,4
SO52912,11023,2007-08-21,1,53.99,53.99,490,4
SO74658,11023,2008-07-17,1,3.99,3.99,529,4
SO74658,11023,2008-07-17,1,2.29,2.29,480,4
SO60998,11024,2007-12-29,1,4.99,4.99,528,4
SO60998,11024,2007-12-29,1,35.0,35.0,537,4
SO60998,11024,2007-12-29,1,2.29,2.29,480,4
SO62830,11024,2008-01-27,1,3.99,3.99,529,4
SO62830,11024,2008-01-27,1,2.29,2.29,480,4
SO62830,11024,2008-01-27,1,7.95,7.95,484,4
SO43732,11025,2005-07-09,1,3374.99,3374.99,350,9
SO51561,11025,2007-07-24,1,2319.99,2319.99,357,9
SO51561,11025,2007-07-24,1,21.98,21.98,485,9
SO51561,11025,2007-07-24,1,63.5,63.5,472,9
SO69157,11025,2008-04-27,1,742.35,742.35,565,9
SO69157,11025,2008-04-27,1,53.99,53.99,488,9
SO43811,11026,2005-07-26,1,3399.99,3399.99,346,9
SO55132,11026,2007-09-28,1,2319.99,2319.99,353,9
SO55132,11026,2007-09-28,1,54.99,54.99,487,9
SO55132,11026,2007-09-28,1,24.49,24.49,467,9
SO68468,11026,2008-04-17,1,742.35,742.35,567,9
SO68468,11026,2008-04-17,1,28.99,28.99,541,9
SO68468,11026,2008-04-17,1,4.99,4.99,530,9
SO43775,11027,2005-07-19,1,3399.99,3399.99,347,9
SO58536,11027,2007-11-24,1,2294.99,2294.99,363,9
SO58536,11027,2007-11-24,1,54.99,54.99,487,9
SO58536,11027,2007-11-24,1,53.99,53.99,490,9
SO58536,11027,2007-11-24,1,8.99,8.99,225,9
SO69088,11027,2008-04-26,1,742.35,742.35,571,9
SO69088,11027,2008-04-26,1,4.99,4.99,530,9
SO69088,11027,2008-04-26,1,28.99,28.99,541,9
SO69088,11027,2008-04-26,1,2.29,2.29,480,9
SO43831,11028,2005-07-29,1,3374.99,3374.99,349,9
SO57943,11028,2007-11-14,1,2319.99,2319.99,353,9
SO57943,11028,2007-11-14,1,35.0,35.0,537,9
SO57943,11028,2007-11-14,1,2.29,2.29,480,9
SO67961,11028,2008-04-09,1,742.35,742.35,569,9
SO43794,11029,2005-07-22,1,3399.99,3399.99,347,9
SO57294,11029,2007-11-02,1,2319.99,2319.99,353,9
SO57294,11029,2007-11-02,1,34.99,34.99,222,9
SO57294,11029,2007-11-02,1,53.99,53.99,489,9
SO70593,11029,2008-05-14,1,742.35,742.35,569,9
SO70593,11029,2008-05-14,1,8.99,8.99,479,9
SO70593,11029,2008-05-14,1,4.99,4.99,477,9
SO43956,11030,2005-08-08,1,3399.99,3399.99,344,9
SO62739,11030,2008-01-25,1,2319.99,2319.99,355,9
SO70449,11030,2008-05-12,1,742.35,742.35,566,9
SO70449,11030,2008-05-12,1,8.99,8.99,225,9
SO43933,11031,2005-08-04,1,3399.99,3399.99,347,9
SO62222,11031,2008-01-16,1,2319.99,2319.99,357,9
SO62222,11031,2008-01-16,1,2.29,2.29,480,9
SO70748,11031,2008-05-16,1,742.35,742.35,568,9
SO70748,11031,2008-05-16,1,4.99,4.99,477,9
SO70748,11031,2008-05-16,1,8.99,8.99,479,9
SO44021,11032,2005-08-21,1,3374.99,3374.99,348,9
SO64042,11032,2008-02-12,1,2319.99,2319.99,355,9
SO64042,11032,2008-02-12,1,35.0,35.0,537,9
SO64042,11032,2008-02-12,1,4.99,4.99,528,9
SO64042,11032,2008-02-12,1,21.98,21.98,485,9
SO64042,11032,2008-02-12,1,9.99,9.99,478,9
SO64042,11032,2008-02-12,1,4.99,4.99,477,9
SO64042,11032,2008-02-12,1,2.29,2.29,480,9
SO70373,11032,2008-05-11,1,742.35,742.35,570,9
SO70373,11032,2008-05-11,1,8.99,8.99,225,9
SO43998,11033,2005-08-18,1,3374.99,3374.99,348,9
SO63409,11033,2008-02-02,1,2319.99,2319.99,357,9
SO63409,11033,2008-02-02,1,34.99,34.99,222,9
SO70163,11033,2008-05-08,1,742.35,742.35,585,9
SO70163,11033,2008-05-08,1,8.99,8.99,479,9
SO70163,11033,2008-05-08,1,8.99,8.99,225,9
SO70163,11033,2008-05-08,1,4.99,4.99,477,9
SO43934,11034,2005-08-04,1,3399.99,3399.99,346,9
SO63737,11034,2008-02-07,1,2294.99,2294.99,361,9
SO70521,11034,2008-05-13,1,742.35,742.35,567,9
SO70521,11034,2008-05-13,1,53.99,53.99,489,9
SO43959,11035,2005-08-09,1,3374.99,3374.99,348,9
SO66140,11035,2008-03-13,1,2319.99,2319.99,353,9
SO70870,11035,2008-05-18,1,742.35,742.35,585,9
SO70870,11035,2008-05-18,1,4.99,4.99,477,9
SO70870,11035,2008-05-18,1,8.99,8.99,479,9
SO51593,11036,2007-07-26,1,2319.99,2319.99,357,4
SO51593,11036,2007-07-26,1,34.99,34.99,217,4
SO51555,11037,2007-07-24,1,2294.99,2294.99,361,6
SO51555,11037,2007-07-24,1,35.0,35.0,537,6
SO51555,11037,2007-07-24,1,4.99,4.99,528,6
SO51555,11037,2007-07-24,1,21.98,21.98,485,6
SO51555,11037,2007-07-24,1,4.99,4.99,477,6
SO51555,11037,2007-07-24,1,9.99,9.99,478,6
SO51555,11037,2007-07-24,1,2.29,2.29,480,6
SO43965,11038,2005-08-10,1,3374.99,3374.99,351,9
SO65549,11038,2008-03-04,1,2319.99,2319.99,355,9
SO70671,11038,2008-05-15,1,742.35,742.35,566,9
SO43966,11039,2005-08-10,1,3399.99,3399.99,347,9
SO66747,11039,2008-03-23,1,2319.99,2319.99,355,9
SO66747,11039,2008-03-23,1,2.29,2.29,480,9
SO66747,11039,2008-03-23,1,120.0,120.0,483,9
SO66747,11039,2008-03-23,1,8.99,8.99,225,9
SO70594,11039,2008-05-14,1,742.35,742.35,572,9
SO70594,11039,2008-05-14,1,28.99,28.99,541,9
SO70594,11039,2008-05-14,1,4.99,4.99,530,9
SO70594,11039,2008-05-14,1,8.99,8.99,225,9
SO55599,11040,2007-10-05,1,2319.99,2319.99,353,1
SO55599,11040,2007-10-05,1,21.98,21.98,485,1
SO55599,11040,2007-10-05,1,8.99,8.99,481,1
SO51460,11041,2007-07-18,1,2294.99,2294.99,359,4
SO51460,11041,2007-07-18,1,21.98,21.98,485,4
SO51460,11041,2007-07-18,1,63.5,63.5,471,4
SO51577,11042,2007-07-25,1,2319.99,2319.99,355,4
SO68609,11042,2008-04-19,1,742.35,742.35,568,4
SO68609,11042,2008-04-19,1,49.99,49.99,234,4
SO57638,11043,2007-11-09,1,3.99,3.99,529,4
SO57638,11043,2007-11-09,1,8.99,8.99,225,4
SO64496,11043,2008-02-19,1,35.0,35.0,537,4
SO44073,11044,2005-08-31,1,3374.99,3374.99,351,9
SO70074,11044,2008-05-07,1,2294.99,2294.99,363,9
SO70074,11044,2008-05-07,1,35.0,35.0,537,9
SO70374,11044,2008-05-11,1,742.35,742.35,572,9
SO70374,11044,2008-05-11,1,8.99,8.99,479,9
SO70374,11044,2008-05-11,1,4.99,4.99,477,9
SO70374,11044,2008-05-11,1,53.99,53.99,490,9
SO55973,11045,2007-10-12,1,4.99,4.99,528,9
SO55973,11045,2007-10-12,1,24.99,24.99,535,9
SO55973,11045,2007-10-12,1,34.99,34.99,222,9
SO69572,11045,2008-05-01,1,49.99,49.99,228,9
SO43960,11046,2005-08-09,1,3374.99,3374.99,349,9
SO69653,11046,2008-05-01,1,742.35,742.35,571,9
SO69653,11046,2008-05-01,1,24.49,24.49,465,9
SO69653,11046,2008-05-01,1,34.99,34.99,214,9
SO70651,11046,2008-05-15,1,2319.99,2319.99,353,9
SO70651,11046,2008-05-15,1,120.0,120.0,483,9
SO43948,11047,2005-08-06,1,3399.99,3399.99,345,9
SO70087,11047,2008-05-07,1,742.35,742.35,567,9
SO71132,11047,2008-05-22,1,2319.99,2319.99,357,9
SO71132,11047,2008-05-22,1,120.0,120.0,483,9
SO43980,11048,2005-08-13,1,3374.99,3374.99,351,9
SO70820,11048,2008-05-17,1,742.35,742.35,585,9
SO70820,11048,2008-05-17,1,7.95,7.95,484,9
SO73924,11048,2008-06-27,1,2294.99,2294.99,361,9
SO73924,11048,2008-06-27,1,9.99,9.99,478,9
SO73924,11048,2008-06-27,1,4.99,4.99,477,9
SO73924,11048,2008-06-27,1,53.99,53.99,489,9
SO73924,11048,2008-06-27,1,8.99,8.99,225,9
SO54129,11049,2007-09-10,1,4.99,4.99,528,4
SO54129,11049,2007-09-10,1,35.0,35.0,537,4
SO54129,11049,2007-09-10,1,34.99,34.99,214,4
SO69583,11049,2008-05-01,1,3.99,3.99,529,4
SO69583,11049,2008-05-01,1,2.29,2.29,480,4
SO44029,11050,2005-08-23,1,3374.99,3374.99,350,9
SO54526,11050,2007-09-17,1,769.49,769.49,587,9
SO54526,11050,2007-09-17,1,21.98,21.98,485,9
SO54526,11050,2007-09-17,1,63.5,63.5,473,9
SO71147,11050,2008-05-22,1,742.35,742.35,566,9
SO71147,11050,2008-05-22,1,34.99,34.99,222,9
SO74155,11051,2008-07-01,1,8.99,8.99,225,9
SO74155,11051,2008-07-01,1,49.99,49.99,228,9
SO74253,11051,2008-07-04,1,24.99,24.99,535,9
SO74253,11051,2008-07-04,1,4.99,4.99,528,9
SO74253,11051,2008-07-04,1,34.99,34.99,222,9
SO44012,11052,2005-08-20,1,3374.99,3374.99,349,9
SO51582,11052,2007-07-25,1,2294.99,2294.99,363,9
SO51582,11052,2007-07-25,1,4.99,4.99,528,9
SO51582,11052,2007-07-25,1,35.0,35.0,537,9
SO51582,11052,2007-07-25,1,2.29,2.29,480,9
SO58766,11052,2007-11-28,1,2384.07,2384.07,575,9
SO58766,11052,2007-11-28,1,34.99,34.99,222,9
SO51505,11053,2007-07-21,1,2294.99,2294.99,363,4
SO51505,11053,2007-07-21,1,34.99,34.99,217,4
SO43944,11054,2005-08-06,1,3399.99,3399.99,344,9
SO51350,11054,2007-07-11,1,2294.99,2294.99,359,9
SO51350,11054,2007-07-11,1,54.99,54.99,487,9
SO51350,11054,2007-07-11,1,53.99,53.99,488,9
SO59127,11054,2007-12-01,1,2384.07,2384.07,564,9
SO59127,11054,2007-12-01,1,34.99,34.99,214,9
SO43926,11055,2005-08-03,1,3374.99,3374.99,351,9
SO52271,11055,2007-08-08,1,2319.99,2319.99,353,9
SO52271,11055,2007-08-08,1,35.0,35.0,537,9
SO52271,11055,2007-08-08,1,4.99,4.99,528,9
SO52271,11055,2007-08-08,1,34.99,34.99,217,9
SO59695,11055,2007-12-09,1,2384.07,2384.07,562,9
SO59695,11055,2007-12-09,1,8.99,8.99,479,9
SO59695,11055,2007-12-09,1,4.99,4.99,477,9
SO44058,11056,2005-08-29,1,3374.99,3374.99,350,9
SO52207,11056,2007-08-07,1,2319.99,2319.99,353,9
SO52207,11056,2007-08-07,1,4.99,4.99,477,9
SO52207,11056,2007-08-07,1,9.99,9.99,478,9
SO52207,11056,2007-08-07,1,53.99,53.99,489,9
SO52207,11056,2007-08-07,1,24.49,24.49,463,9
SO59194,11056,2007-12-02,1,2384.07,2384.07,562,9
SO59194,11056,2007-12-02,1,34.99,34.99,222,9
SO44040,11057,2005-08-25,1,3374.99,3374.99,351,9
SO51682,11057,2007-07-31,1,2319.99,2319.99,357,9
SO58402,11057,2007-11-22,1,2384.07,2384.07,562,9
SO58402,11057,2007-11-22,1,8.99,8.99,482,9
SO44180,11058,2005-09-09,1,3399.99,3399.99,347,9
SO51292,11058,2007-07-08,1,2319.99,2319.99,355,9
SO51292,11058,2007-07-08,1,54.99,54.99,487,9
SO59464,11058,2007-12-06,1,2384.07,2384.07,573,9
SO59464,11058,2007-12-06,1,34.99,34.99,217,9
SO59464,11058,2007-12-06,1,53.99,53.99,488,9
SO52933,11059,2007-08-22,1,8.99,8.99,479,9
SO52933,11059,2007-08-22,1,4.99,4.99,477,9
SO52933,11059,2007-08-22,1,8.99,8.99,225,9
SO52933,11059,2007-08-22,1,53.99,53.99,489,9
SO54200,11059,2007-09-12,1,4.99,4.99,477,9
SO54200,11059,2007-09-12,1,9.99,9.99,478,9
SO54480,11059,2007-09-17,1,24.99,24.99,535,9
SO44220,11060,2005-09-19,1,3399.99,3399.99,345,9
SO51293,11060,2007-07-08,1,2319.99,2319.99,353,9
SO60884,11060,2007-12-27,1,2384.07,2384.07,575,9
SO60884,11060,2007-12-27,1,8.99,8.99,479,9
SO60884,11060,2007-12-27,1,4.99,4.99,477,9
SO60884,11060,2007-12-27,1,34.99,34.99,214,9
SO44190,11061,2005-09-13,1,3374.99,3374.99,348,9
SO51237,11061,2007-07-04,1,2319.99,2319.99,357,9
SO51237,11061,2007-07-04,1,9.99,9.99,478,9
SO51237,11061,2007-07-04,1,4.99,4.99,477,9
SO51237,11061,2007-07-04,1,34.99,34.99,214,9
SO60168,11061,2007-12-16,1,2384.07,2384.07,564,9
SO51347,11062,2007-07-11,1,2294.99,2294.99,361,1
SO51347,11062,2007-07-11,1,21.98,21.98,485,1
SO51347,11062,2007-07-11,1,34.99,34.99,222,1
SO51431,11063,2007-07-16,1,2294.99,2294.99,363,1
SO51431,11063,2007-07-16,1,4.99,4.99,477,1
SO51431,11063,2007-07-16,1,9.99,9.99,478,1
SO51431,11063,2007-07-16,1,53.99,53.99,490,1
SO51431,11063,2007-07-16,1,8.99,8.99,225,1
SO51646,11064,2007-07-29,1,2294.99,2294.99,359,4
SO51646,11064,2007-07-29,1,9.99,9.99,478,4
SO52558,11065,2007-08-14,1,35.0,35.0,537,4
SO52558,11065,2007-08-14,1,2.29,2.29,480,4
SO52558,11065,2007-08-14,1,159.0,159.0,486,4
SO74538,11065,2008-07-13,1,3.99,3.99,529,4
SO74538,11065,2008-07-13,1,2.29,2.29,480,4
SO59178,11066,2007-12-02,1,35.0,35.0,537,1
SO59178,11066,2007-12-02,1,4.99,4.99,528,1
SO59178,11066,2007-12-02,1,2.29,2.29,480,1
SO66656,11066,2008-03-22,1,3.99,3.99,529,1
SO66656,11066,2008-03-22,1,34.99,34.99,222,1
SO64472,11067,2008-02-19,1,3.99,3.99,529,1
SO64472,11067,2008-02-19,1,2.29,2.29,480,1
SO74615,11067,2008-07-15,1,4.99,4.99,528,1
SO74615,11067,2008-07-15,1,35.0,35.0,537,1
SO74615,11067,2008-07-15,1,34.99,34.99,222,1
SO74615,11067,2008-07-15,1,24.49,24.49,463,1
SO57197,11068,2007-11-01,1,4.99,4.99,477,9
SO57197,11068,2007-11-01,1,8.99,8.99,479,9
SO57197,11068,2007-11-01,1,24.49,24.49,467,9
SO62476,11068,2008-01-21,1,4.99,4.99,477,9
SO62476,11068,2008-01-21,1,9.99,9.99,478,9
SO67965,11068,2008-04-10,1,4.99,4.99,528,9
SO67965,11068,2008-04-10,1,24.99,24.99,535,9
SO67965,11068,2008-04-10,1,21.98,21.98,485,9
SO67965,11068,2008-04-10,1,7.95,7.95,484,9
SO44416,11069,2005-10-18,1,3399.99,3399.99,345,9
SO51667,11069,2007-07-30,1,2319.99,2319.99,357,9
SO59465,11069,2007-12-06,1,2384.07,2384.07,561,9
SO44467,11070,2005-10-29,1,3399.99,3399.99,346,9
SO51385,11070,2007-07-13,1,2294.99,2294.99,361,9
SO51385,11070,2007-07-13,1,4.99,4.99,528,9
SO51385,11070,2007-07-13,1,35.0,35.0,537,9
SO51385,11070,2007-07-13,1,2.29,2.29,480,9
SO51385,11070,2007-07-13,1,7.95,7.95,484,9
SO60939,11070,2007-12-28,1,2384.07,2384.07,562,9
SO60939,11070,2007-12-28,1,28.99,28.99,541,9
SO60939,11070,2007-12-28,1,4.99,4.99,530,9
SO60939,11070,2007-12-28,1,2.29,2.29,480,9
SO53667,11071,2007-09-02,1,24.99,24.99,535,9
SO53667,11071,2007-09-02,1,2.29,2.29,480,9
SO54593,11071,2007-09-19,1,9.99,9.99,478,9
SO54593,11071,2007-09-19,1,4.99,4.99,477,9
SO72067,11071,2008-06-03,1,4.99,4.99,477,9
SO72067,11071,2008-06-03,1,8.99,8.99,479,9
SO72067,11071,2008-06-03,1,53.99,53.99,488,9
SO44323,11072,2005-10-01,1,3399.99,3399.99,344,9
SO51386,11072,2007-07-13,1,2319.99,2319.99,355,9
SO51386,11072,2007-07-13,1,21.98,21.98,485,9
SO51386,11072,2007-07-13,1,53.99,53.99,490,9
SO60240,11072,2007-12-17,1,2384.07,2384.07,561,9
SO60240,11072,2007-12-17,1,8.99,8.99,479,9
SO60240,11072,2007-12-17,1,4.99,4.99,477,9
SO54892,11073,2007-09-24,1,9.99,9.99,478,9
SO54892,11073,2007-09-24,1,4.99,4.99,477,9
SO54892,11073,2007-09-24,1,34.99,34.99,217,9
SO54892,11073,2007-09-24,1,53.99,53.99,490,9
SO59841,11073,2007-12-12,1,24.99,24.99,535,9
SO59841,11073,2007-12-12,1,4.99,4.99,528,9
SO59841,11073,2007-12-12,1,34.99,34.99,222,9
SO64686,11073,2008-02-22,1,4.99,4.99,477,9
SO64686,11073,2008-02-22,1,8.99,8.99,479,9
SO64686,11073,2008-02-22,1,8.99,8.99,225,9
SO54893,11074,2007-09-24,1,9.99,9.99,478,9
SO54893,11074,2007-09-24,1,4.99,4.99,477,9
SO54893,11074,2007-09-24,1,34.99,34.99,222,9
SO57536,11074,2007-11-07,1,24.99,24.99,535,9
SO57536,11074,2007-11-07,1,2.29,2.29,480,9
SO57536,11074,2007-11-07,1,7.95,7.95,484,9
SO58717,11074,2007-11-28,1,8.99,8.99,479,9
SO44468,11075,2005-10-29,1,3374.99,3374.99,351,9
SO51491,11075,2007-07-20,1,2294.99,2294.99,363,9
SO60835,11075,2007-12-26,1,2384.07,2384.07,574,9
SO60835,11075,2007-12-26,1,4.99,4.99,477,9
SO60835,11075,2007-12-26,1,8.99,8.99,479,9
SO44437,11076,2005-10-22,1,3399.99,3399.99,344,9
SO51239,11076,2007-07-04,1,2319.99,2319.99,353,9
SO51239,11076,2007-07-04,1,54.99,54.99,487,9
SO60628,11076,2007-12-23,1,2384.07,2384.07,574,9
SO44407,11077,2005-10-16,1,3374.99,3374.99,351,9
SO51651,11077,2007-07-29,1,2319.99,2319.99,357,9
SO51651,11077,2007-07-29,1,54.99,54.99,487,9
SO60042,11077,2007-12-14,1,2384.07,2384.07,576,9
SO60042,11077,2007-12-14,1,34.99,34.99,214,9
SO52789,11078,2007-08-19,1,4.99,4.99,530,6
SO52789,11078,2007-08-19,1,34.99,34.99,214,6
SO52789,11078,2007-08-19,1,24.49,24.49,467,6
SO53993,11078,2007-09-08,1,3.99,3.99,529,6
SO53993,11078,2007-09-08,1,7.95,7.95,484,6
SO54214,11078,2007-09-12,1,4.99,4.99,528,6
